country,country_code,#,pos,player_name,first_names,last_names,name_on_shirt,dob,age,club,height_cm,caps,goals,player_image_url,flag_code,flag_url,flag_colors
Côte D'Ivoire,CIV,11,FW,DIOMANDE Yan,Yan,DIOMANDE,YAN DIOMANDE,14/11/2006,19,RB Leipzig (GER),180,11,3,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,CI,https://flagsapi.com/CI/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#F77F00"", ""percent"": 33.33}, {""hex"": ""#009E60"", ""percent"": 33.33}]"
Côte D'Ivoire,CIV,24,FW,TOURE Bazoumana,Bazoumana,TOURE,TOURE,02/03/2006,20,TSG Hoffenheim (GER),178,7,2,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,CI,https://flagsapi.com/CI/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#F77F00"", ""percent"": 33.33}, {""hex"": ""#009E60"", ""percent"": 33.33}]"
Côte D'Ivoire,CIV,26,MF,OULAI Christ Inao,Christ Ravynel Inao,OULAI,INAO,06/04/2006,20,Trabzonspor (TUR),173,10,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CI,https://flagsapi.com/CI/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#F77F00"", ""percent"": 33.33}, {""hex"": ""#009E60"", ""percent"": 33.33}]"
Croatia,CRO,22,DF,VUSKOVIC Luka,Luka,VUŠKOVIĆ,VUŠKOVIĆ,24/02/2007,19,Hamburger SV (GER),193,6,1,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,HR,https://flagsapi.com/HR/flat/64.png,"[{""hex"": ""#FF0000"", ""percent"": 32.58}, {""hex"": ""#171796"", ""percent"": 32.49}, {""hex"": ""#FFFFFF"", ""percent"": 28.63}, {""hex"": ""#FD7071"", ""percent"": 1.19}, {""hex"": ""#B3B3DC"", ""percent"": 1.02}, {""hex"": ""#9C2639"", ""percent"": 0.13}]"
Czechia,CZE,25,MF,SOCHUREK Hugo,Hugo,SOCHŮREK,SOCHŮREK,07/06/2008,18,AC Sparta Praha (CZE),183,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CZ,https://flagsapi.com/CZ/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 50.0}, {""hex"": ""#D7141A"", ""percent"": 25.0}, {""hex"": ""#11457E"", ""percent"": 25.0}]"
Ecuador,ECU,10,MF,PAEZ Kendry,Ray Kendry,PAEZ ANDRADE,KENDRY,04/05/2007,19,CA River Plate (ARG),178,26,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,EC,https://flagsapi.com/EC/flat/64.png,"[{""hex"": ""#FFDD00"", ""percent"": 46.95}, {""hex"": ""#ED1C24"", ""percent"": 25.45}, {""hex"": ""#034EA2"", ""percent"": 21.57}, {""hex"": ""#483220"", ""percent"": 1.03}, {""hex"": ""#42AAC9"", ""percent"": 0.34}, {""hex"": ""#4D9332"", ""percent"": 0.33}]"
Ecuador,ECU,24,FW,AREVALO Jeremy,Jeremy Alberto,AREVALO MERA,AREVALO,19/03/2005,21,VfB Stuttgart (GER),182,4,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,EC,https://flagsapi.com/EC/flat/64.png,"[{""hex"": ""#FFDD00"", ""percent"": 46.95}, {""hex"": ""#ED1C24"", ""percent"": 25.45}, {""hex"": ""#034EA2"", ""percent"": 21.57}, {""hex"": ""#483220"", ""percent"": 1.03}, {""hex"": ""#42AAC9"", ""percent"": 0.34}, {""hex"": ""#4D9332"", ""percent"": 0.33}]"
Ecuador,ECU,26,DF,MEDINA Yaimar,Yaimar Abel,MEDINA ORTIZ,MEDINA,05/11/2004,21,KRC Genk (BEL),173,6,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,EC,https://flagsapi.com/EC/flat/64.png,"[{""hex"": ""#FFDD00"", ""percent"": 46.95}, {""hex"": ""#ED1C24"", ""percent"": 25.45}, {""hex"": ""#034EA2"", ""percent"": 21.57}, {""hex"": ""#483220"", ""percent"": 1.03}, {""hex"": ""#42AAC9"", ""percent"": 0.34}, {""hex"": ""#4D9332"", ""percent"": 0.33}]"
Egypt,EGY,9,FW,HAMZA ABDELKARIM,Hamza Mohamed Abdelkarim E,SELIM,ABDELKARIM,01/01/2008,18,FC Barcelona (ESP),182,3,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,EG,https://flagsapi.com/EG/flat/64.png,"[{""hex"": ""#000000"", ""percent"": 33}, {""hex"": ""#CE1126"", ""percent"": 33}, {""hex"": ""#FFFFFF"", ""percent"": 28.39}, {""hex"": ""#E4D091"", ""percent"": 2.16}, {""hex"": ""#EFB0B7"", ""percent"": 1}, {""hex"": ""#C29608"", ""percent"": 0.78}]"
England,ENG,3,DF,OREILLY Nico,Nico,O'REILLY,O'REILLY,21/03/2005,21,Manchester City FC (ENG),177,6,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,GB-ENG,https://flagsapi.com/GB-ENG/flat/64.png,"[{""hex"": ""#CF142B"", ""percent"": 36.09}, {""hex"": ""#FFFFFF"", ""percent"": 31.36}, {""hex"": ""#F3C4CA"", ""percent"": 1.54}, {""hex"": ""#AAB6D4"", ""percent"": 1.48}, {""hex"": ""#DB4F60"", ""percent"": 1.25}, {""hex"": ""#6E82B5"", ""percent"": 1.04}]"
England,ENG,16,MF,MAINOO Kobbie,Kobbie Boateng,MAINOO,MAINOO,19/04/2005,21,Manchester United FC (ENG),183,14,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,GB-ENG,https://flagsapi.com/GB-ENG/flat/64.png,"[{""hex"": ""#CF142B"", ""percent"": 36.09}, {""hex"": ""#FFFFFF"", ""percent"": 31.36}, {""hex"": ""#F3C4CA"", ""percent"": 1.54}, {""hex"": ""#AAB6D4"", ""percent"": 1.48}, {""hex"": ""#DB4F60"", ""percent"": 1.25}, {""hex"": ""#6E82B5"", ""percent"": 1.04}]"
France,FRA,18,MF,ZAIRE-EMERY Warren,Warren Marie Jean-Pierre,ZAÏRE-EMERY,ZAIRE-EMERY,08/03/2006,20,Paris Saint-Germain (FRA),176,11,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,FR,https://flagsapi.com/FR/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#002395"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}]"
France,FRA,20,FW,DOUE Desire,Désiré Nonka-Maho,DOUE,DOUE,03/06/2005,21,Paris Saint-Germain (FRA),182,8,2,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,FR,https://flagsapi.com/FR/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#002395"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}]"
France,FRA,23,GK,RISSER Robin,Robin François Philippe,RISSER,RISSER,02/12/2004,21,RC Lens (FRA),193,0,0,https://www.citypng.com/public/uploads/preview/free-football-goal-keeper-black-silhouette-png-704081694878919l9wkwqlmuo.png,FR,https://flagsapi.com/FR/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#002395"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}]"
Germany,GER,25,MF,OUEDRAOGO Assan,Forzan Assan,OUÉDRAOGO,OUÉDRAOGO,09/05/2006,20,RB Leipzig (GER),191,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,DE,https://flagsapi.com/DE/flat/64.png,"[{""hex"": ""#FFCE00"", ""percent"": 33}, {""hex"": ""#000000"", ""percent"": 33}, {""hex"": ""#DD0000"", ""percent"": 32}, {""hex"": ""#E84500"", ""percent"": 1}, {""hex"": ""#930000"", ""percent"": 1}]"
Ghana,GHA,3,MF,YIRENKYI Caleb,Caleb Marfo,YIRENKYI,YIRENKYI,15/01/2006,20,FC Nordsjælland (DEN),182,12,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,GH,https://flagsapi.com/GH/flat/64.png,"[{""hex"": ""#006B3F"", ""percent"": 33}, {""hex"": ""#CE1126"", ""percent"": 33}, {""hex"": ""#FCD116"", ""percent"": 29.18}, {""hex"": ""#ED911C"", ""percent"": 1.13}, {""hex"": ""#A9AF24"", ""percent"": 1.04}, {""hex"": ""#8C750C"", ""percent"": 0.13}]"
Ghana,GHA,13,FW,BONSU BAAH Christopher,Christopher Bonsu,BAAH,BONSU BAAH,14/12/2004,21,Al Qadsiah FC (KSA),172,9,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,GH,https://flagsapi.com/GH/flat/64.png,"[{""hex"": ""#006B3F"", ""percent"": 33}, {""hex"": ""#CE1126"", ""percent"": 33}, {""hex"": ""#FCD116"", ""percent"": 29.18}, {""hex"": ""#ED911C"", ""percent"": 1.13}, {""hex"": ""#A9AF24"", ""percent"": 1.04}, {""hex"": ""#8C750C"", ""percent"": 0.13}]"
Haiti,HAI,3,DF,THERMONCY Keeto,Keeto,THERMONCY,THERMONCY,29/03/2006,20,BSC Young Boys (SUI),179,1,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,HT,https://flagsapi.com/HT/flat/64.png,"[{""hex"": ""#00209F"", ""percent"": 47.53}, {""hex"": ""#D21034"", ""percent"": 47.53}, {""hex"": ""#1D6D1F"", ""percent"": 0.41}, {""hex"": ""#A56A25"", ""percent"": 0.29}, {""hex"": ""#BD9B3F"", ""percent"": 0.28}, {""hex"": ""#D0504D"", ""percent"": 0.14}]"
Haiti,HAI,26,MF,PIERRE Woodensky,Olivier Woodensky,PIERRE,W. PIERRE,30/12/2004,21,Violette AC (HAI),177,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,HT,https://flagsapi.com/HT/flat/64.png,"[{""hex"": ""#00209F"", ""percent"": 47.53}, {""hex"": ""#D21034"", ""percent"": 47.53}, {""hex"": ""#1D6D1F"", ""percent"": 0.41}, {""hex"": ""#A56A25"", ""percent"": 0.29}, {""hex"": ""#BD9B3F"", ""percent"": 0.28}, {""hex"": ""#D0504D"", ""percent"": 0.14}]"
Iran,IRN,26,MF,RAZAGHINIA Amirmohammad,Amirmohammad,RAZAGHINIA,RAZAGH,11/04/2006,20,Esteghlal Tehran FC (IRN),187,4,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,IR,https://flagsapi.com/IR/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 32.05}, {""hex"": ""#DA0101"", ""percent"": 29.91}, {""hex"": ""#239F40"", ""percent"": 28.42}, {""hex"": ""#B0DDBA"", ""percent"": 2.23}, {""hex"": ""#E96A6A"", ""percent"": 1.91}, {""hex"": ""#8ACC99"", ""percent"": 1.81}]"
Japan,JPN,9,FW,GOTO Keisuke,Keisuke,GOTO,GOTO,03/06/2005,21,Sint-Truiden VV (BEL),191,4,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,JP,https://flagsapi.com/JP/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 80.82}, {""hex"": ""#BC002D"", ""percent"": 18.27}, {""hex"": ""#D14F6E"", ""percent"": 0.58}, {""hex"": ""#EDBBC7"", ""percent"": 0.22}, {""hex"": ""#DF869B"", ""percent"": 0.11}]"
